Id,bairro,tipo_vendedor,quartos,suites,vagas,area_util,area_extra,preco,tipo_casa,tipo_apartamento,tipo_quitinete,tipo_loft,amenities
2000,448228.3333333333,True,3,3,5,223,167,1000000.0,True,False,False,False,1
2001,506917.8622222222,True,4,4,2,157,0,680000.0,False,True,False,False,2
2002,416455.32515337423,True,3,1,0,53,0,450000.0,False,True,False,False,0
2003,876340.6047529706,True,4,3,2,149,0,1080000.0,False,True,False,False,2
2004,599055.7475247525,True,2,1,1,54,0,350000.0,False,True,False,False,2
2005,506908.225,True,3,0,1,130,0,490000.0,False,True,False,False,1
2006,599055.7475247525,True,4,2,0,105,0,680000.0,False,True,False,False,2
2007,534571.1057692308,True,3,1,1,124,0,390000.0,False,True,False,False,0
2008,876340.6047529706,True,4,4,3,170,0,1350000.0,False,True,False,False,2
2009,876340.6047529706,True,3,1,1,72,0,400000.0,False,True,False,False,0
2010,876340.6047529706,True,4,3,2,125,0,980000.0,False,True,False,False,1
2011,876340.6047529706,True,4,4,3,150,0,1200000.0,False,True,False,False,2
2012,876340.6047529706,True,2,0,1,72,0,215000.0,False,True,False,False,0
2013,876340.6047529706,True,1,1,2,92,22,750000.0,False,True,False,False,2
2014,876340.6047529706,True,3,1,2,120,0,580000.0,False,True,False,False,0
2015,506908.225,True,4,3,4,500,0,1500000.0,False,True,False,False,2
2016,575885.0574712644,True,3,1,1,75,0,300000.0,False,True,False,False,0
2017,690600.0,True,3,1,1,104,0,420000.0,False,True,False,False,0
2018,583929.8409785932,True,3,1,1,135,0,560000.0,False,True,False,False,2
2019,876340.6047529706,True,3,1,2,82,0,489000.0,False,True,False,False,2
2020,748617.8699186991,True,3,3,3,198,0,1300000.0,False,True,False,False,2
2021,583929.8409785932,True,3,1,1,67,0,380000.0,False,True,False,False,2
2022,876340.6047529706,True,4,2,2,145,0,690000.0,False,True,False,False,2
2023,876340.6047529706,True,3,2,2,163,110,700000.0,False,True,False,False,1
2024,876340.6047529706,True,3,1,0,100,20,400000.0,False,True,False,False,0
2025,690600.0,True,4,1,2,209,117,690000.0,False,True,False,False,2
2026,1937500.0,True,4,4,3,247,0,2200000.0,False,True,False,False,2
2027,876340.6047529706,True,3,1,1,65,10,370000.0,False,True,False,False,2
2028,876340.6047529706,True,3,1,2,88,42,579000.0,False,True,False,False,2
2029,487251.76470588235,True,2,0,1,50,0,265000.0,False,True,False,False,2
2030,876340.6047529706,True,3,0,0,109,0,300000.0,False,True,False,False,0
2031,876340.6047529706,True,4,1,2,80,0,470000.0,False,True,False,False,2
2032,876340.6047529706,True,4,1,1,150,0,900000.0,False,True,False,False,0
2033,876340.6047529706,True,3,1,2,97,0,814000.0,False,True,False,False,2
2034,876340.6047529706,True,2,1,1,57,0,298500.0,False,True,False,False,2
2035,583929.8409785932,True,3,1,2,93,0,700000.0,False,True,False,False,2
2036,534571.1057692308,True,4,4,3,310,130,1100000.0,False,True,False,False,1
2037,748617.8699186991,True,3,1,2,159,0,700000.0,False,True,False,False,2
2038,583929.8409785932,True,3,1,2,96,0,635000.0,False,True,False,False,2
2039,251666.66666666666,True,2,0,1,55,0,160000.0,False,True,False,False,1
2040,876340.6047529706,True,3,1,2,89,0,480000.0,False,True,False,False,0
2041,876340.6047529706,True,2,0,1,60,0,350000.0,False,True,False,False,0
2042,894779.6666666666,True,4,4,4,161,0,950000.0,False,True,False,False,2
2043,506917.8622222222,True,2,1,1,66,0,440000.0,False,True,False,False,2
2044,599055.7475247525,True,4,2,2,113,0,790000.0,False,True,False,False,2
2045,736800.0,True,4,2,2,133,0,860000.0,False,True,False,False,2
2046,352413.4482758621,True,3,1,1,64,0,370000.0,False,True,False,False,2
2047,4235034.090452261,True,3,1,1,72,0,460000.0,False,True,False,False,2
2048,448383.4,True,2,1,1,70,0,300000.0,False,True,False,False,1
2049,448228.3333333333,True,4,4,3,170,0,1200000.0,False,True,False,False,2
2050,268065.0,True,2,0,1,56,0,169000.0,False,True,False,False,0
2051,599055.7475247525,True,3,3,3,177,0,1600000.0,False,True,False,False,2
2052,534571.1057692308,True,3,1,1,67,0,330000.0,False,True,False,False,2
2053,876340.6047529706,True,1,1,0,38,0,530000.0,False,True,False,False,2
2054,583929.8409785932,True,4,4,3,204,0,1200000.0,False,True,False,False,2
2055,876340.6047529706,True,3,1,1,96,34,450000.0,False,True,False,False,1
2056,416455.32515337423,True,3,1,2,70,0,435000.0,False,True,False,False,2
2057,448383.4,True,2,1,1,65,0,320000.0,False,True,False,False,2
2058,690600.0,True,3,1,1,110,0,450000.0,False,True,False,False,0
2059,876340.6047529706,True,3,1,2,170,0,580000.0,False,True,False,False,2
2060,506917.8622222222,True,2,1,1,52,0,420000.0,False,True,False,False,2
2061,4235034.090452261,True,4,4,3,237,0,1750000.0,False,True,False,False,2
2062,329308.0022413793,True,3,1,1,63,0,390000.0,False,True,False,False,2
2063,416455.32515337423,True,2,0,1,60,0,220000.0,False,True,False,False,0
2064,876340.6047529706,True,4,4,2,137,0,900000.0,False,True,False,False,2
2065,534571.1057692308,True,2,0,0,50,30,200000.0,False,True,False,False,0
2066,352413.4482758621,True,2,1,1,54,36,314000.0,False,True,False,False,2
2067,945000.0,True,4,1,2,150,0,700000.0,True,False,False,False,2
2068,876340.6047529706,True,3,1,2,95,0,607000.0,False,True,False,False,2
2069,251666.66666666666,True,2,1,1,57,0,225000.0,False,True,False,False,1
2070,876340.6047529706,True,3,1,1,78,0,395000.0,False,True,False,False,2
2071,876340.6047529706,True,4,4,2,140,0,1000000.0,False,True,False,False,2
2072,876340.6047529706,True,4,3,3,200,0,1400000.0,False,True,False,False,2
2073,4235034.090452261,True,4,4,3,205,0,1200000.0,False,True,False,False,0
2074,268065.0,True,3,1,1,90,25,220000.0,False,True,False,False,0
2075,447179.76470588235,True,2,1,1,55,0,350000.0,False,True,False,False,2
2076,534571.1057692308,True,3,1,1,132,0,550000.0,False,True,False,False,2
2077,795671.4285714285,True,2,0,1,68,0,270000.0,False,True,False,False,1
2078,876340.6047529706,False,3,1,1,80,0,380000.0,False,True,False,False,2
2079,876340.6047529706,True,4,2,2,127,0,1100000.0,False,True,False,False,2
2080,876340.6047529706,True,3,2,2,119,0,750000.0,False,True,False,False,2
2081,7561666.666666667,True,3,1,2,165,0,450000.0,True,False,False,False,0
2082,583929.8409785932,True,4,4,3,203,0,1350000.0,False,True,False,False,1
2083,296056.4166666667,True,2,0,1,52,0,220000.0,False,True,False,False,2
2084,506917.8622222222,True,2,1,1,68,0,470000.0,False,True,False,False,1
2085,876340.6047529706,True,4,2,2,128,0,1003680.0,False,True,False,False,2
2086,876340.6047529706,True,3,1,1,68,0,460000.0,False,True,False,False,2
2087,876340.6047529706,True,2,1,2,101,0,820000.0,False,True,False,False,2
2088,365807.8947368421,True,3,1,1,68,39,175000.0,False,True,False,False,2
2089,1917213.725,True,3,2,0,86,0,350000.0,False,True,False,False,0
2090,583929.8409785932,True,3,1,1,120,0,520000.0,False,True,False,False,2
2091,876340.6047529706,True,3,1,1,100,0,450000.0,False,True,False,False,1
2092,876340.6047529706,True,2,1,1,43,0,380000.0,False,True,False,False,0
2093,876340.6047529706,True,1,0,1,46,0,480000.0,False,True,False,False,2
2094,506917.8622222222,True,3,1,1,60,0,440000.0,False,True,False,False,0
2095,876340.6047529706,True,2,1,1,65,0,380000.0,False,True,False,False,1
2096,876340.6047529706,True,4,4,4,289,0,3500000.0,False,True,False,False,2
2097,1962250.0,True,4,2,3,263,0,900000.0,False,True,False,False,1
2098,448383.4,True,5,1,6,285,415,1000000.0,True,False,False,False,1
2099,329308.0022413793,True,2,0,1,75,0,240000.0,False,True,False,False,0
